"Reference area","Frequency of observation","Measure","Unit of measure","Geographical area","Age","Sex","Education level","Income group","Employment status","Time period","Country ISO3","Value","Observation status","Observation status 2","Observation status 3","Time horizon","Decimals","V7 Breakdowns households"
"Czechia","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Total","Total","Total","Total","2023","CZE","11.4262","Normal value","","","","Two","Individuals aged 16-24"
"Greece","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Female","Total","Total","Total","2023","GRC","6.3402","Normal value","","","","Two","Female aged 16-24"
"Italy","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Female","Total","Total","Total","2023","ITA","9.8221","Normal value","","","","Two","Female aged 16-24"
"Mexico","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Male","Total","Total","Total","2022","MEX","13.39843612","Definition differs","","","","Two","Male aged 16-24"
"Norway","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Female","Total","Total","Total","2023","NOR","20.6612","Normal value","","","","Two","Female aged 16-24"
"Sweden","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Male","Total","Total","Total","2023","SWE","22.0652","Normal value","","","","Two","Male aged 16-24"
"Romania","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Total","Total","Total","Total","2023","ROU","3.633","Normal value","","","","Two","Individuals aged 16-24"
"Czechia","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Female","Total","Total","Total","2023","CZE","9.7562","Normal value","","","","Two","Female aged 16-24"
"European Union (27 countries)","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Male","Total","Total","Total","2023","EU27","19.1101","Normal value","","","","Two","Male aged 16-24"
"United Kingdom","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Female","Total","Total","Total","2019","GBR","12.4069","Normal value","","","","Two","Female aged 16-24"
"Romania","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Female","Total","Total","Total","2023","ROU","1.6474","Normal value","","","","Two","Female aged 16-24"
"Portugal","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Total","Total","Total","Total","2023","PRT","25.9708","Normal value","","","","Two","Individuals aged 16-24"
"Latvia","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Male","Total","Total","Total","2023","LVA","14.1613","Normal value","","","","Two","Male aged 16-24"
"OECD","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Female","Total","Total","Total","2023","OECD","9.935724682068965","Time series break","","","","Two","Female aged 16-24"
"Bulgaria","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Male","Total","Total","Total","2023","BGR","2.6228","Normal value","","","","Two","Male aged 16-24"
"Greece","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Total","Total","Total","Total","2023","GRC","6.2344","Normal value","","","","Two","Individuals aged 16-24"
"Switzerland","Annual","Individuals who have written computer code - last 12 m","Percentage of population","Not applicable","From 16 to 24 years","Male","Total","Total","Total","2023","CHE","28.2142","Normal value","","","","Two","Male aged 16-24"
